Date,Close,High,Low,Open,Volume,regime
2000-01-03,91.88777923583984,93.6647238278522,90.90058779583296,93.6647238278522,8164300,0
2000-01-04,88.29438018798828,91.0190278771525,88.22527680456746,90.6833828719656,8089800,0
2000-01-05,88.45234680175781,89.41979434490203,86.71488998958043,88.4128591469356,12177900,0
2000-01-06,87.03081512451172,89.40007506438045,87.0308151245117,88.21544509444608,6227200,0
2000-01-07,92.0851821899414,92.0851821899414,88.49180672712637,88.64975729692044,8066500,0
2000-01-10,92.40113830566406,92.81575879806128,91.63112881978354,92.40113830566406,5741700,0
2000-01-11,91.2954559326172,92.30239110834458,90.66365346941568,92.12469666556916,7503700,0
2000-01-12,90.38729858398438,91.35474673396588,90.26883554521112,91.35474673396588,6907700,0
2000-01-13,91.61136627197266,92.08521816648286,90.52545568038676,91.27572118002792,5158300,0
2000-01-14,92.855224609375,93.17112586256444,92.2234221029961,92.57881101283424,7437300,0
2000-01-18,92.1247100830078,92.638049659124,91.72983348599534,91.82855263524846,6488500,0
2000-01-19,92.87496185302734,92.87496185302734,91.6113569298569,91.80879519910228,6157900,0
2000-01-20,91.4533920288086,92.85520352147816,90.8610773135961,92.85520352147816,5800100,0
2000-01-21,91.25592803955078,91.9272178606985,91.01900222032218,91.9272178606985,6244800,0
2000-01-24,88.6695556640625,92.14447033715868,88.07724066296655,92.0260073369395,7896900,0
2000-01-25,89.67644500732422,89.67644500732422,87.82052562584282,88.7781010513944,9942500,0
2000-01-26,88.96570587158203,89.42968591773875,88.51159774130099,89.08416886209014,5158100,0
2000-01-27,88.61033630371094,89.85419797642345,87.2677554506244,89.61727194352584,10922700,0
2000-01-28,85.84615325927734,88.49182587582361,85.62897117881458,88.09694936589132,11916200,0
2000-01-31,88.17594909667969,88.24505250506266,85.29334977556118,85.80668938069188,10768700,0
2000-02-01,89.04466247558594,89.51851433798373,87.52438775039302,88.29439702678943,8419900,0
2000-02-02,89.12361145019531,89.87387667729044,88.68924737135076,89.26181820255493,6205900,0
2000-02-03,90.46622467041016,90.50571232849414,88.45235410812691,89.00518132130271,7997500,0
2000-02-04,90.09111785888672,90.97959042159763,89.79496033798308,90.466250718698,4925400,0
2000-02-07,89.95289611816406,90.20956592710527,89.36058117445359,90.07135910690616,5845800,0
2000-02-08,91.17699432373048,91.33494494187464,90.74263012383396,90.9598122237822,4936400,0
2000-02-09,89.26187896728516,91.2757501583188,89.25200704968205,91.2757501583188,8511500,0
2000-02-10,89.43952178955078,90.07132415097807,89.00515766606952,89.47900943714,6690600,0
2000-02-11,87.62308502197266,89.67644257994588,87.20846474584346,89.61721111192742,9849800,0
2000-02-14,88.1364517211914,88.31414618030672,87.38618622714901,88.31414618030672,8528800,0
2000-02-15,89.13349914550781,89.22234635918701,87.06039749299295,87.9784853676781,11078300,0
2000-02-16,87.82054901123047,89.04466637604529,87.69221412620956,88.68927746367969,8845400,0
2000-02-17,87.36642456054688,88.72874846894862,87.32693691102799,88.72874846894862,7584200,0
2000-02-18,85.4907455444336,87.74154115461037,85.05638147931177,87.74154115461037,9409200,0
2000-02-22,85.27362823486328,86.14235702447523,84.36541177299625,85.4118350877561,16415400,0
2000-02-23,86.28047943115234,86.8530501184529,84.9773875221235,85.68816492704832,12119000,0
