asset,model,rmse,mae,dir_acc
SPY,Random Walk,4.5362,3.2869,49.44
SPY,SMA(20),11.5951,9.2513,53.91
SPY,"ARIMA(5, 1, 0)",9.3699,3.529,48.72
BTC,Random Walk,1322.1088,824.5586,46.05
BTC,SMA(20),3708.6867,2469.4772,51.0
BTC,"ARIMA(5, 1, 0)",1453.1393,846.2212,46.05
